"nameText","ProjectID","officialLink","twitterLink","discordLink","telegramLink","cmcLink","introduceText","detailIntroText","categories","ecosystem","tokenContractAddress","nftContractAddress","communityNftContractAddress","contractAddressWebsite","protocolContractAddresses","twitterLogoLink","discordServerId"
"dYmension","","https://www.dymension.xyz/","https://twitter.com/dymension","https://discord.gg/dymension","https://t.me/dymensionXYZ","","Modular settlement layer","dYmension's blockchain platform is a modular settlement layer that provides all the tools and infrastructure needed to easily launch enshrined rollups as part of the Cosmos ecosystem. This opens up a whole new dimension of decentralized use cases. dYmension introduces a paradigm shift in scaling, allowing for a future where metaverse apps, games, and other ultra-high-throughput services can reside on the blockchain by easily deploying dedicated rollups tailored to their needs.","9: ""Infrastructure"",","9: ""Cosmos"",","","","","","","https://pbs.twimg.com/profile_images/1663159896701820928/by0GLREA_400x400.jpg","956961633165529098"
"StarkNet","","https://starknet.io/","https://twitter.com/Starknet","https://starknet.io/discord","","","decentralized ZK-Rollup","StarkNet is a permissionless, decentralized Validity-Rollup (also known as a ""ZK-Rollup""). It operates as an L2 network over Ethereum, enabling any dApp to achieve unlimited scalability for its computations without compromising Ethereum's composability and security. This is possible due to StarkNet's reliance on the safest and most scalable cryptographic proof system: STARK.","9: ""Infrastructure"",","1: ""Ethereum"",73: ""StarkNet"",","","","","","","https://pbs.twimg.com/profile_images/1656626805816565763/WyFDMG6u_400x400.png","793094838509764618"
"Avalanche","","https://www.avalabs.org/","https://twitter.com/Avax","https://chat.avax.network/","https://t.me/avalancheavax","https://coinmarketcap.com/currencies/avalanche/","Decentralized blockchain","Avalanche is a platform created by Ava Labs for creating custom blockchain networks and decentralized applications (dApps). It claims great scalability, with a high transaction throughput (TPS) of 4500 transactions per second. Its novel consensus protocol, Subnet infrastructure, and HyperSDK toolkit enable Web3 developers to easily launch powerful, custom blockchain solutions.","9: ""Infrastructure"",","7: ""Avalanche"",","$AVAX:FvwEAhmxKfeiG8SnEvq42hc6whRyY3EFYAvebMqDNDGCgxN5Z:avalanche","","","","","https://pbs.twimg.com/profile_images/1605605053901021184/9LNylZAA_400x400.png","578992315641626624"
"Sei Network","","https://www.sei.io/","https://twitter.com/SeiNetwork","https://discord.gg/sei","","https://coinmarketcap.com/currencies/sei/","Layer 1 blockchain for digital assets exchange","Sei is a general purpose, open-source Layer 1 blockchain specialized for the exchange of digital assets. Sei addresses the exchange scalability problem by building the first Layer 1 specialized for trading, optimizing every layer of the stack to offer the best infrastructure for the exchange of digital assets.","9: ""Infrastructure"",","13: ""Sei"",","","","","","","https://pbs.twimg.com/profile_images/1686378008230469632/DvhxRewX_400x400.jpg","973057323805311026"
"Saga","","https://www.saga.xyz/","https://twitter.com/Sagaxyz__","https://discord.gg/sagaxyz","https://t.me/sagaofficialchannel","","A protocol for automated deployment of application-specific blockchains","Saga is a Layer-1 protocol that allows developers to automatically spin up parallelized and interoperable dedicated chains that elastically scale with their Web3 application needs. Using shared security, cutting-edge validator orchestration and an automated deployment pipeline standardized across any kind of blockchain VM, Saga makes launching a dedicated chain, or Chainlet, as easy as deploying a smart contract.","9: ""Infrastructure"",","9: ""Cosmos"",","","","","","","https://pbs.twimg.com/profile_images/1508474357315616768/zcPXETKs_400x400.jpg","950275843949736006"
"Hyperlane","","https://www.hyperlane.xyz/","https://twitter.com/hyperlane_xyz","https://discord.com/invite/VK9ZUy3aTV","","","Cross-chain messaging protocol","Hyperlane is the platform for developers building the interchain universe. It provides an on-chain API for sending information between blockchains. Developers can use Hyperlane as an API to easily and securely communicate between blockchains, or they can utilize the Hyperlane SDK and tooling to quickly build interchain applications.","9: ""Infrastructure"",","1: ""Ethereum"", 4: ""Polygon"", 2: ""BSC"", 7: ""Avalanche"", 5: ""Arbitrum"", 6: ""Optimism"", 59: ""Celo"",","","","","","","https://pbs.twimg.com/profile_images/1671589406816313345/wGzRPeEf_400x400.jpg","935678348330434570"
"NEAR Protocol","","https://near.org/","https://twitter.com/NEARProtocol","https://discord.com/invite/zfhfRpaM4m","https://t.me/cryptonear","https://coinmarketcap.com/currencies/near-protocol/","Layer-one blockchain","NEAR is a sharded, proof-of-stake, layer-one blockchain that aims to incentivize a network of computers to operate a platform for developers to create and launch decentralized applications. Central to its design is the concept of sharding, a process that splits the network's infrastructure into several segments so that nodes only have to handle a fraction of the network's transactions. The NEAR mainnet went live in August 2020.","9: ""Infrastructure"",","51: ""NEAR"",","","","","","","https://pbs.twimg.com/profile_images/1631021064171196431/_ahCp9jR_400x400.jpg","490367152054992913"
"Chiliz","","https://www.chiliz.com/","https://twitter.com/chiliz","https://discord.gg/QsJ8dAnsDy","https://t.me/chiliz_io","https://coinmarketcap.com/currencies/chiliz/","Blockchain Fintech Provider for Sports and Entertainment","Chiliz is a blockchain fintech provider for sports and entertainment. They have developed the blockchain-based fan engagement and rewards platform Socios.com, which is built on the Chiliz blockchain infrastructure and uses CHZ as its exclusive on-platform currency. Fans can purchase and trade branded Fan Tokens, as well as having the ability to participate, influence, and vote in club-focused surveys and polls. Chiliz aims to create a blockchain ecosystem built for sports and entertainment.","9: ""Infrastructure"",","","$CHZ:0x3506424f91fd33084466f402d5d97f05f8e3b4af:ethereum","","","","","https://pbs.twimg.com/profile_images/1742511921897549824/SINt5-cG_400x400.png",""
"TinFun","","https://www.tinfun.com/","https://twitter.com/TinFunNFT","https://discord.gg/zGFrsD2XhH","","","Web3 Oriental Fantasy Adventure Game","TinFun is an oriental fantasy adventure NFT series. Its culture combines ancient Chinese classics as Taikoo and blockchain technology as the future. It aims to create PFP projects that integrate traditional Chinese culture and blockchain innovative content to support and assist the community. Different segmented cultures develop. TinFun prepares incentive plans to implement IP co-creation and incubation for community artists and fans.","2: ""NFT"",","1: ""Ethereum"",","","TinFun:0xC274a97F1691eF390F662067E95A6eFf1F99B504:ethereum","","","","https://pbs.twimg.com/profile_images/1635969534288089089/ALKwr2J3_400x400.jpg","1084554831500411030"
"Chromia","","https://chromia.com/","https://twitter.com/Chromia","https://discord.gg/chromia","https://t.me/hellochromia","https://coinmarketcap.com/currencies/chromia/","Blockchain platform","Chromia is a blockchain platform that makes it easy for people to build decentralized applications in the real world. The Chromia Platform was developed based on enterprise use cases, such as pioneering work done in land registration and e-currencies.","9: ""Infrastructure"",","80: ""Chromia"",","$CHR:0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2:ethereum","","","","","https://pbs.twimg.com/profile_images/1351493188809351168/QaU6uaug_400x400.jpg","1004724463658618910"
